代號,名稱,市場,漲幅%,5日籌碼,外資5日,投信5日,投信連買,5日集中%,預估量比
00982D,主動富邦動態入息,TW,0.0,-1714.394,0.502,0.0,0,0.0,0.0
00982T,平衡兆豐台美動能,TW,0.0,402.0,-13.0,0.0,0,0.0,0.0
00983A,主動中信ARK創新,TW,0.0,2457.114,795.0,0.0,0,0.0,0.0
00983D,主動富邦複合收益,TW,0.0,-1357.09,-351.0,0.0,0,0.0,0.0
00984A,主動安聯台灣高息,TW,0.0,4592.863,2193.1099999999997,0.0,0,0.0,0.0
00984D,主動聯博全球非投,TW,0.0,-63083.447,277.0,48.0,0,0.0,0.0
00985A,主動野村台灣50,TW,0.0,4732.384,-73.15,0.0,0,0.0,0.0
00985B,群益ESG投等債0-5,TW,0.0,-5165.4400000000005,-197.0,0.0,0,0.0,0.0
00986A,主動台新龍頭成長,TW,0.0,601.269,444.0,0.0,0,0.0,0.0
00987A,主動台新優勢成長,TW,0.0,2806.772,37.06400000000002,0.0,0,0.0,0.0
00988A,主動統一全球創新,TW,0.0,27649.144,33638.088,-15076.0,1,0.0,0.0
00989A,主動摩根美國科技,TW,0.0,945.015,2782.0,0.0,0,0.0,0.0
00990A,主動元大AI新經濟,TW,0.0,22752.578,10879.735,0.0,0,0.0,0.0
00991A,主動復華未來50,TW,0.0,34276.238,-23729.791,2450.0,0,0.0,0.0
00991B,貝萊德A級公司債,TW,0.0,-98.55300000000003,0.0,0.0,0,0.0,0.0
00992A,主動群益科技創新,TW,0.0,49770.364,22689.908,1900.0,0,0.0,0.0
00993A,主動安聯台灣,TW,0.0,18950.49,7716.222,0.0,0,0.0,0.0
00994A,主動第一金台股優,TW,0.0,5732.88,326.9,0.0,0,0.0,0.0
00995A,主動中信台灣卓越,TW,0.0,5323.436,1079.8,0.0,0,0.0,0.0
00996A,主動兆豐台灣豐收,TW,0.0,7106.706,-2437.0,0.0,0,0.0,0.0
00997A,主動群益美國增長,TW,0.0,14863.049,10139.526,0.0,0,0.0,0.0
00999A,主動野村臺灣高息,TW,0.0,67596.602,10615.060000000001,0.0,0,0.0,0.0
01002T,土銀國泰R1,TW,0.0,7.0,7.0,0.0,0,0.0,0.0
01007T,兆豐國泰R2,TW,0.0,28.0,28.0,0.0,0,0.0,0.0
01009T,王道圓滿R1,TW,0.0,-1.0,-1.0,0.0,0,0.0,0.0
01010T,京城樂富R1,TW,0.0,1.0,1.0,0.0,0,0.0,0.0
020000,富邦特選蘋果N,TW,0.0,15.0,0.0,0.0,0,0.0,0.0
02001L,富邦蘋果正二N,TW,0.0,48.0,0.0,0.0,0,0.0,0.0
020020,元大台股領航N,TW,0.0,30.0,0.0,0.0,0,0.0,0.0
020028,元大特選電動車N,TW,0.0,96.0,0.0,0.0,0,0.0,0.0
020029,元大ESG高股息N,TW,0.0,41.0,0.0,0.0,0,0.0,0.0
020030,統一智慧電動車N,TW,0.0,100.0,0.0,0.0,0,0.0,0.0
020031,統一IC設計臺灣N,TW,0.0,138.0,0.0,0.0,0,0.0,0.0
020032,元大綠能N,TW,0.0,4.0,0.0,0.0,0,0.0,0.0
020034,元大IC設計N,TW,0.0,22.0,0.0,0.0,0,0.0,0.0
020037,元大金融高股息N,TW,0.0,3.0,0.0,0.0,0,0.0,0.0
020038,元大ESG配息N,TW,0.0,40.0,0.0,0.0,0,0.0,0.0
020039,元大加權N,TW,0.0,45.0,0.0,0.0,0,0.0,0.0
03001T,啟碁台新5A售02,TW,0.0,3.0,0.0,0.0,0,0.0,0.0
03002T,台積電群益5A售12,TW,0.0,3.0,0.0,0.0,0,0.0,0.0
03005T,臺股指群益5C售06,TW,0.0,-1.0,0.0,0.0,0,0.0,0.0
03006T,臺股指群益5C售07,TW,0.0,8.0,0.0,0.0,0,0.0,0.0
03006X,元展06,TW,0.0,-1.0,0.0,0.0,0,0.0,0.0
030079,南亞統一59購01,TW,0.0,10.0,0.0,0.0,0,0.0,0.0
03007T,台灣50元大5B售05,TW,0.0,100.0,0.0,0.0,0,0.0,0.0
030088,玉晶光統一59購01,TW,0.0,73.0,0.0,0.0,0,0.0,0.0
030092,訊芯統一59購01,TW,0.0,1.0,0.0,0.0,0,0.0,0.0
03010T,台化凱基5A售05,TW,0.0,201.0,0.0,0.0,0,0.0,0.0
03012X,元展12,TW,0.0,1.0,0.0,0.0,0,0.0,0.0
030135,飛捷國票59購01,TW,0.0,345.0,0.0,0.0,0,0.0,0.0
03013T,大立光凱基5A售06,TW,0.0,-40.0,0.0,0.0,0,0.0,0.0
03013X,元展13,TW,0.0,1.0,0.0,0.0,0,0.0,0.0
03014T,臺股指凱基5A售47,TW,0.0,1.0,0.0,0.0,0,0.0,0.0
03015T,臺股指凱基5C售16,TW,0.0,-4.0,0.0,0.0,0,0.0,0.0
03016T,臺股指凱基5C售17,TW,0.0,-20.0,0.0,0.0,0,0.0,0.0
030174,鴻海凱基63購01,TW,0.0,-5.0,0.0,0.0,0,0.0,0.0
03018T,玉晶光國票5A售03,TW,0.0,15.0,0.0,0.0,0,0.0,0.0
03021T,華泰台新5A售01,TW,0.0,-79.0,0.0,0.0,0,0.0,0.0
03023T,眾達群益5A售03,TW,0.0,-6.0,0.0,0.0,0,0.0,0.0
030240,南亞統一5A購01,TW,0.0,19.0,0.0,0.0,0,0.0,0.0
030243,台化統一62購01,TW,0.0,-10.0,0.0,0.0,0,0.0,0.0
030245,台玻統一5A購01,TW,0.0,17.0,0.0,0.0,0,0.0,0.0
03024T,臺股指群益65售04,TW,0.0,-7.0,0.0,0.0,0,0.0,0.0
030250,同欣電統一5B購01,TW,0.0,10.0,0.0,0.0,0,0.0,0.0
030251,AES統一5C購01,TW,0.0,55.0,0.0,0.0,0,0.0,0.0
03033T,S&P正2凱基5B售01,TW,0.0,-6.0,0.0,0.0,0,0.0,0.0
